model,model_key,finetune,strategy,aggregation,round,rouge_l,bert_score,composite,energy_kwh,co2_g,comm_mb
Llama-3.2-1B,llama32_1b,ffn_only,flora,FLoRA,1,0.49648032859028085,0.8847809433937073,0.690630635991994,0.2532166115183553,62.9946671370212,37.5
Llama-3.2-1B,llama32_1b,ffn_only,flora,FLoRA,2,0.5591452972718991,0.8930210471153259,0.7260831721936125,0.585044207711938,126.03740882827874,75.0
Llama-3.2-1B,llama32_1b,ffn_only,flora,FLoRA,3,0.5494910546931996,0.8909647464752197,0.7202279005842096,0.8830582457616304,189.12833217431512,112.5
Llama-3.2-1B,llama32_1b,ffn_only,flora,FLoRA,4,0.5402985824936876,0.8877939581871033,0.7140462703403954,1.2148223077367626,252.14559054245527,150.0
Llama-3.2-1B,llama32_1b,ffn_only,flora,FLoRA,5,0.5421216941820752,0.8884750604629517,0.7152983773225134,1.5079126509168284,315.2996145549964,187.5
